log_id,run_id,event_ts,stage,script_name,status,severity,environment,branch,commit_sha,input_path,output_path,entity_name,metric_name,metric_value,metric_unit,row_count,error_code,error_message,action_taken,duration_ms,notes
ceb0fefc-911a-49d2-bf43-cf4e8a20836a,9eb22e55-e806-4c54-aebf-2d24e5197fec,2026-03-11T21:41:38-03:00,Validation,validate_results.py,STARTED,INFO,local,main,c814649,,,,,,,,,,,,Iniciando validação de consistência dos dados.
9a1b646c-a0da-41b4-b1ab-aab6ce22f681,9eb22e55-e806-4c54-aebf-2d24e5197fec,2026-03-11T21:41:40-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,c814649,,,Validation Result,tabela_silver_renda_ok,42,rows,,,,,,
e86237eb-d4ba-48b8-86b2-666117aaeb69,9eb22e55-e806-4c54-aebf-2d24e5197fec,2026-03-11T21:41:40-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,c814649,,,Validation Result,tabela_silver_despesa_ok,752,rows,,,,,,
ed19c668-f4b4-409d-a294-d223a35d6aba,9eb22e55-e806-4c54-aebf-2d24e5197fec,2026-03-11T21:41:40-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,c814649,,,Validation Result,tabela_bronze_consolidado_despesa.csv_amostra,5,rows,,,,,,
b0bed281-0965-457f-81a5-11fd5a37ca6d,9eb22e55-e806-4c54-aebf-2d24e5197fec,2026-03-11T21:41:40-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,c814649,,,Validation Result,tabela_bronze_consolidado_renda.csv_amostra,5,rows,,,,,,
241b56b8-0b13-499a-9726-d53ee43b538e,9eb22e55-e806-4c54-aebf-2d24e5197fec,2026-03-11T21:41:40-03:00,Validation,validate_results.py,FINISHED,INFO,local,main,c814649,,,,,,,,,,,1480,Validação do Pipeline finalizada.
ed124103-10ae-41c2-a447-3ebc7362af1e,ff8bfe7e-3121-4a3c-b3a2-b2ec0afda90b,2026-03-11T21:55:51-03:00,Validation,validate_results.py,STARTED,INFO,local,main,c814649,,,,,,,,,,,,Iniciando validação de consistência dos dados.
e3bbe9c4-8b6c-473a-bc26-5372be90db49,ff8bfe7e-3121-4a3c-b3a2-b2ec0afda90b,2026-03-11T21:55:51-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,c814649,,,Validation Result,tabela_silver_renda_ok,42,rows,,,,,,
f7255c9a-6ba7-4481-a56f-4d753eeb800b,ff8bfe7e-3121-4a3c-b3a2-b2ec0afda90b,2026-03-11T21:55:51-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,c814649,,,Validation Result,tabela_silver_despesa_ok,752,rows,,,,,,
8416226b-52d4-4c0d-827a-a794562df866,ff8bfe7e-3121-4a3c-b3a2-b2ec0afda90b,2026-03-11T21:55:51-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,c814649,,,Validation Result,tabela_bronze_consolidado_despesa.csv_amostra,5,rows,,,,,,
e6602aa8-4a16-491c-948d-e9d1a4ad5812,ff8bfe7e-3121-4a3c-b3a2-b2ec0afda90b,2026-03-11T21:55:51-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,c814649,,,Validation Result,tabela_bronze_consolidado_renda.csv_amostra,5,rows,,,,,,
0eb6caed-d2b8-488b-a232-0817f1624f35,ff8bfe7e-3121-4a3c-b3a2-b2ec0afda90b,2026-03-11T21:55:51-03:00,Validation,validate_results.py,FINISHED,INFO,local,main,c814649,,,,,,,,,,,173,Validação do Pipeline finalizada.
61ad97bb-6d31-4e3d-93f6-7872f46a7666,982fa9b1-5308-4c87-993a-f97939e92551,2026-03-14T18:37:52-03:00,Validation,validate_results.py,STARTED,INFO,local,main,5fb7f93,,,,,,,,,,,,Iniciando validação de consistência dos dados.
7211bc85-e433-4f59-b350-f81140f61244,982fa9b1-5308-4c87-993a-f97939e92551,2026-03-14T18:37:54-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_silver_renda_ok,42,rows,,,,,,
d36c148d-63b6-4015-92ec-2faea7ec3b88,982fa9b1-5308-4c87-993a-f97939e92551,2026-03-14T18:37:54-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_silver_despesa_ok,752,rows,,,,,,
b702e42c-c4d6-4936-bcf4-d819a692b0a4,982fa9b1-5308-4c87-993a-f97939e92551,2026-03-14T18:37:54-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_bronze_consolidado_despesa.csv_amostra,5,rows,,,,,,
c8fa989d-5f17-4b68-86dc-ebb7bb06bc55,982fa9b1-5308-4c87-993a-f97939e92551,2026-03-14T18:37:54-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_bronze_consolidado_renda.csv_amostra,5,rows,,,,,,
2de179b3-1de4-4588-b8a6-cc6a17d43844,982fa9b1-5308-4c87-993a-f97939e92551,2026-03-14T18:37:54-03:00,Validation,validate_results.py,FINISHED,INFO,local,main,5fb7f93,,,,,,,,,,,1363,Validação do Pipeline finalizada.
b0755d4d-0a83-4fae-b05c-78d253714eda,35cfa29a-bac9-424d-8ada-72352dec3058,2026-03-14T18:40:14-03:00,Validation,validate_results.py,STARTED,INFO,local,main,5fb7f93,,,,,,,,,,,,Iniciando validação de consistência dos dados.
2a20b3d4-3940-4dd2-8824-0414944b1534,35cfa29a-bac9-424d-8ada-72352dec3058,2026-03-14T18:40:14-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_silver_renda_ok,42,rows,,,,,,
08d5713d-f97a-4075-bff6-2006578432b4,35cfa29a-bac9-424d-8ada-72352dec3058,2026-03-14T18:40:14-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_silver_despesa_ok,752,rows,,,,,,
abf6d8cb-41ed-495b-b215-499cb1fc8caf,35cfa29a-bac9-424d-8ada-72352dec3058,2026-03-14T18:40:14-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_bronze_consolidado_despesa.csv_amostra,5,rows,,,,,,
96baef5e-e54a-41b9-afcb-970c77beb8b9,35cfa29a-bac9-424d-8ada-72352dec3058,2026-03-14T18:40:14-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_bronze_consolidado_renda.csv_amostra,5,rows,,,,,,
804ddf9f-f9b2-4514-8fb4-6a0d08175a07,35cfa29a-bac9-424d-8ada-72352dec3058,2026-03-14T18:40:14-03:00,Validation,validate_results.py,FINISHED,INFO,local,main,5fb7f93,,,,,,,,,,,188,Validação do Pipeline finalizada.
b45e4c10-b569-4e99-bb31-36ed91a30a7f,ff662117-ffec-4735-be6c-2e18a555736d,2026-03-14T18:42:36-03:00,Validation,validate_results.py,STARTED,INFO,local,main,5fb7f93,,,,,,,,,,,,Iniciando validação de consistência dos dados.
0291b13d-f26a-45b9-ad3b-c65faf7b5546,ff662117-ffec-4735-be6c-2e18a555736d,2026-03-14T18:42:36-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_silver_renda_ok,42,rows,,,,,,
927ada36-814c-438a-aa8d-af39b8f8776a,ff662117-ffec-4735-be6c-2e18a555736d,2026-03-14T18:42:36-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_silver_despesa_ok,752,rows,,,,,,
94bdf5a5-e02b-4e23-803d-ac8ae42fc699,ff662117-ffec-4735-be6c-2e18a555736d,2026-03-14T18:42:36-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_bronze_consolidado_despesa.csv_amostra,5,rows,,,,,,
80b33666-572c-4d88-ac8b-de7a50133352,ff662117-ffec-4735-be6c-2e18a555736d,2026-03-14T18:42:36-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_bronze_consolidado_renda.csv_amostra,5,rows,,,,,,
d47b7a13-0670-4603-a79f-dfba99d1f737,ff662117-ffec-4735-be6c-2e18a555736d,2026-03-14T18:42:36-03:00,Validation,validate_results.py,FINISHED,INFO,local,main,5fb7f93,,,,,,,,,,,169,Validação do Pipeline finalizada.
872ff9bc-167d-40fa-97cd-6707da4c66c8,76766b5d-b12e-44f6-81f0-619c3ddd1b93,2026-03-14T18:44:59-03:00,Validation,validate_results.py,STARTED,INFO,local,main,5fb7f93,,,,,,,,,,,,Iniciando validação de consistência dos dados.
731e5315-d121-4d16-9061-d585fbf570ae,76766b5d-b12e-44f6-81f0-619c3ddd1b93,2026-03-14T18:44:59-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_silver_renda_ok,42,rows,,,,,,
462483d9-0895-46fc-a6dc-3bc44d020f6d,76766b5d-b12e-44f6-81f0-619c3ddd1b93,2026-03-14T18:44:59-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_silver_despesa_ok,752,rows,,,,,,
eaf8665c-08a2-490b-bbf9-36e6b1fedc7a,76766b5d-b12e-44f6-81f0-619c3ddd1b93,2026-03-14T18:44:59-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_bronze_consolidado_despesa.csv_amostra,5,rows,,,,,,
83627d92-4010-43f7-9517-e20f68375a71,76766b5d-b12e-44f6-81f0-619c3ddd1b93,2026-03-14T18:44:59-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_bronze_consolidado_renda.csv_amostra,5,rows,,,,,,
86c128e7-9ea0-4464-9cdb-c8cd1b6e1640,76766b5d-b12e-44f6-81f0-619c3ddd1b93,2026-03-14T18:44:59-03:00,Validation,validate_results.py,FINISHED,INFO,local,main,5fb7f93,,,,,,,,,,,194,Validação do Pipeline finalizada.
80655c5a-4aa4-42a2-b1a1-ea113c3cfb34,60ee0a00-0d11-486e-8999-c7a0b87cb02a,2026-03-14T18:46:52-03:00,Validation,validate_results.py,STARTED,INFO,local,main,5fb7f93,,,,,,,,,,,,Iniciando validação de consistência dos dados.
3e384092-3f68-4ed0-98d4-78281c8c1bd0,60ee0a00-0d11-486e-8999-c7a0b87cb02a,2026-03-14T18:46:52-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_silver_renda_ok,49,rows,,,,,,
fbf4026b-16de-4532-8d46-a00f6d3b77b3,60ee0a00-0d11-486e-8999-c7a0b87cb02a,2026-03-14T18:46:52-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_silver_despesa_ok,825,rows,,,,,,
81b2f385-84a9-4929-a964-8bc1f5479629,60ee0a00-0d11-486e-8999-c7a0b87cb02a,2026-03-14T18:46:52-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_bronze_consolidado_despesa.csv_amostra,5,rows,,,,,,
b4fd2889-fc99-4e26-9d17-7a83537ba1f6,60ee0a00-0d11-486e-8999-c7a0b87cb02a,2026-03-14T18:46:52-03:00,Validation,validate_results.py,SUCCESS,INFO,local,main,5fb7f93,,,Validation Result,tabela_bronze_consolidado_renda.csv_amostra,5,rows,,,,,,
0ceb788b-1fad-440b-aa7d-f5cce8cc383e,60ee0a00-0d11-486e-8999-c7a0b87cb02a,2026-03-14T18:46:52-03:00,Validation,validate_results.py,FINISHED,INFO,local,main,5fb7f93,,,,,,,,,,,189,Validação do Pipeline finalizada.
4fb50561-2a98-4f73-9154-6092bb40d1a1,c75fd5a6-dad1-4b5a-be18-7cc3e55cf0e2,2026-03-14T18:56:15-03:00,Validation,validate_results.py,STARTED,INFO,local,main,5fb7f93,,,,,,,,,,,,Iniciando validação de consistência dos dados.
